# Time,IC-RP,norm_IC-RP,nrm_var_IC-RP,IMS-RP,IMS-RP step,VAR,EC-RP,norm_EC-RP,nrm_var_EC-RP,Condition
3,0.7063,0,0.0006,0,0,1,0.4451,0.002,0.0003,Control
6,0.7063,0,0.0006,0,0,1,0.446,0.0018,0.0003,Control
9,0.7063,0,0.0006,0,0,1,0.4459,0.0015,0.0003,Control
12,0.7063,0,0.0006,0,0,1,0.4458,0.0051,0.0003,Control
15,0.7063,0,0.0006,0,0,1,0.4474,0.0038,0.0002,Control
18,0.7063,0,0.0006,0,0,1,0.4468,0.0042,0.0002,Control
21,0.7063,0,0.0006,0,0,1,0.447,0.0057,0.0003,Control
24,0.7063,0,0.0006,0,0,1,0.4477,0.0022,0.0004,Control
27,0.7063,0,0.0006,0,0,1,0.4461,0.0027,0.0004,Control
30,0.7063,0,0.0006,0,0,1,0.4463,0.0071,0.0004,Control
33,0.7063,0,0.0006,0,0,1,0.4483,0.0027,0.0005,Control
36,0.7063,0,0.0006,0,0,1,0.4463,0.006,0.0005,Control
39,0.7063,0,0.0006,0,0,1,0.4478,0.006,0.0005,Control
42,0.7063,0,0.0006,0,0,1,0.4478,0.0064,0.0006,Control
45,0.7063,0,0.0006,0,0,1,0.448,0.0068,0.0007,Control
48,0.7063,0,0.0006,0,0,1,0.4482,0.0046,0.0007,Control
51,0.7063,0,0.0006,0,0,1,0.4472,0.0075,0.0008,Control
54,0.7063,0,0.0006,0,0,1,0.4485,0.0091,0.0012,Control
57,0.7063,0,0.0006,0,0,1,0.4492,0.0115,0.0009,Control
60,0.7063,0,0.0006,0,0,1,0.4503,0.0144,0.001,Control
63,0.7063,0,0.0006,0,0,1,0.4516,0.0106,0.0009,Control
66,0.7063,0,0.0006,0,0,1,0.4499,0.0077,0.0012,Control
69,0.7063,0,0.0006,0,0,1,0.4486,0.011,0.0011,Control
72,0.7081,0.0035,0.0042,0,0,1,0.4501,0.0086,0.0012,Control
75,0.7151,0.017,0.0047,0,0,1,0.449,0.0128,0.001,Control
78,0.7159,0.0186,0.0046,0,0,1,0.4509,0.0177,0.0011,Control
81,0.717,0.0207,0.0053,0,0,1,0.4531,0.0194,0.0014,Control
84,0.7223,0.031,0.0051,0,0,1,0.4539,0.0188,0.0015,Control
87,0.7245,0.0352,0.0063,0,0,1,0.4536,0.0168,0.0021,Control
90,0.7313,0.0484,0.0078,0,0,1,0.4527,0.0199,0.0019,Control
93,0.7347,0.055,0.0082,0,0,1,0.4541,0.0241,0.0049,Control
96,0.7414,0.068,0.0075,0,0,1,0.456,0.023,0.0079,Control
99,0.744,0.073,0.0067,0,0,1,0.4555,0.0252,0.0097,Control
102,0.7446,0.0742,0.0142,0,0,1,0.4565,0.0289,0.0103,Control
105,0.7614,0.1067,0.0104,0,0,1,0.4582,0.0309,0.0114,Control
108,0.7598,0.1036,0.0094,0,0,1,0.4591,0.0362,0.0093,Control
111,0.7677,0.1189,0.0121,0,0,1,0.4615,0.0386,0.0096,Control
114,0.7812,0.145,0.0083,0,0,1,0.4626,0.0391,0.0103,Control
