TRAIL_conc,simulation,apoptosis
10ng/mL,0,1
10ng/mL,1,0
10ng/mL,2,1
10ng/mL,3,0
10ng/mL,4,0
10ng/mL,5,0
10ng/mL,6,0
10ng/mL,7,0
10ng/mL,8,1
10ng/mL,9,0
10ng/mL,10,0
10ng/mL,11,0
10ng/mL,12,0
10ng/mL,13,1
10ng/mL,14,0
10ng/mL,15,1
10ng/mL,16,0
10ng/mL,17,0
10ng/mL,18,0
10ng/mL,19,0
10ng/mL,20,0
10ng/mL,21,0
10ng/mL,22,0
10ng/mL,23,0
10ng/mL,24,0
10ng/mL,25,0
10ng/mL,26,0
10ng/mL,27,0
10ng/mL,28,0
10ng/mL,29,1
10ng/mL,30,1
10ng/mL,31,0
10ng/mL,32,0
10ng/mL,33,1
10ng/mL,34,0
10ng/mL,35,0
10ng/mL,36,0
10ng/mL,37,0
10ng/mL,38,1
10ng/mL,39,0
10ng/mL,40,0
10ng/mL,41,0
10ng/mL,42,0
10ng/mL,43,0
10ng/mL,44,0
10ng/mL,45,1
10ng/mL,46,0
10ng/mL,47,0
10ng/mL,48,1
10ng/mL,49,0
10ng/mL,50,0
10ng/mL,51,0
10ng/mL,52,0
10ng/mL,53,0
10ng/mL,54,0
10ng/mL,55,0
10ng/mL,56,0
10ng/mL,57,0
10ng/mL,58,0
10ng/mL,59,0
10ng/mL,60,0
10ng/mL,61,0
10ng/mL,62,1
10ng/mL,63,0
10ng/mL,64,1
10ng/mL,65,0
10ng/mL,66,0
10ng/mL,67,1
10ng/mL,68,0
10ng/mL,69,0
10ng/mL,70,0
10ng/mL,71,0
10ng/mL,72,0
10ng/mL,73,0
10ng/mL,74,0
10ng/mL,75,0
10ng/mL,76,0
10ng/mL,77,0
10ng/mL,78,0
10ng/mL,79,0
10ng/mL,80,0
10ng/mL,81,0
10ng/mL,82,0
10ng/mL,83,0
10ng/mL,84,0
10ng/mL,85,0
10ng/mL,86,0
10ng/mL,87,0
10ng/mL,88,1
10ng/mL,89,0
10ng/mL,90,0
10ng/mL,91,0
10ng/mL,92,0
10ng/mL,93,0
10ng/mL,94,0
10ng/mL,95,1
10ng/mL,96,0
10ng/mL,97,1
10ng/mL,98,1
10ng/mL,99,1
10ng/mL,100,0
10ng/mL,101,0
10ng/mL,102,0
10ng/mL,103,0
10ng/mL,104,0
10ng/mL,105,1
10ng/mL,106,0
10ng/mL,107,1
10ng/mL,108,0
10ng/mL,109,0
10ng/mL,110,0
10ng/mL,111,0
10ng/mL,112,0
10ng/mL,113,0
10ng/mL,114,0
10ng/mL,115,1
10ng/mL,116,0
10ng/mL,117,1
10ng/mL,118,0
10ng/mL,119,0
10ng/mL,120,1
10ng/mL,121,0
10ng/mL,122,1
10ng/mL,123,0
10ng/mL,124,0
10ng/mL,125,0
10ng/mL,126,0
10ng/mL,127,0
10ng/mL,128,0
10ng/mL,129,0
